segment,window_index,start,end,window_size,rmse_h25,rmse_h50,rmse_h75,rmse_h100
train,0,0,100,100,0.0013586976565420628,0.00135698018129915,0.0015892422525212169,0.0014507436426356435
train,1,100,200,100,0.001503375475294888,0.00147322379052639,0.0016666891751810908,0.002366447588428855
train,2,200,300,100,0.0011641796445474029,0.0011948102619498968,0.0016155970515683293,0.0021102416794747114
train,3,300,400,100,0.0013465572847053409,0.001724650734104216,0.0017161053838208318,0.001779318554326892
train,4,400,500,100,0.0012427335605025291,0.0011667831568047404,0.001836400362662971,0.002266450086608529
train,5,500,600,100,0.002368238056078553,0.002641643863171339,0.0029197835829108953,0.004051679745316505
train,6,600,700,100,0.001702463603578508,0.0016578896902501583,0.0016579106450080872,0.00173287617508322
train,7,700,800,100,0.0009497760329395533,0.0013079612981528044,0.002395516261458397,0.002849216340109706
train,8,800,900,100,0.0025100302882492542,0.0034997593611478806,0.0056641907431185246,0.006389486603438854
train,9,900,1000,100,0.0015871389769017696,0.0017897350480780005,0.0023980913683772087,0.003400653600692749
val,0,0,100,100,0.0011741815833374858,0.0011324889492243528,0.0017393991583958268,0.0016632298938930035
val,1,100,200,100,0.0025028011295944452,0.0038405638188123703,0.005751465912908316,0.006741740275174379
val,2,200,300,100,0.0011777335312217474,0.0012942894827574492,0.0021728714928030968,0.0027226507663726807
val,3,300,400,100,0.0013965026009827852,0.001957879401743412,0.00279124453663826,0.0032371501438319683
val,4,400,500,100,0.0014354402665048838,0.0012021976290270686,0.0016584803815931082,0.0021137858275324106
val,5,500,600,100,0.001667728996835649,0.0014383237576112151,0.0021017752587795258,0.002296579536050558
val,6,600,700,100,0.002475142478942871,0.003433776320889592,0.005557022988796234,0.006257329136133194
val,7,700,800,100,0.001609303173609078,0.0018328245496377349,0.0025069154798984528,0.0035565283615142107
val,8,800,900,100,0.0011583785526454449,0.0011324201477691531,0.0018181552877649665,0.0017857098719105124
val,9,900,1000,100,0.00260926503688097,0.004011266864836216,0.00612688809633255,0.007159433327615261
test,0,0,100,100,0.0011853639734908938,0.0012962266337126493,0.0022084356751292944,0.00235415599308908
test,1,100,200,100,0.0015238890191540122,0.001937509630806744,0.002680486533790827,0.003186569083482027
test,2,200,300,100,0.0014237123541533947,0.0011920543620362878,0.0018335685599595308,0.0022033376153558493
test,3,300,400,100,0.0023523729760199785,0.002495033200830221,0.003211782779544592,0.00447491928935051
test,4,400,500,100,0.0013603070983663201,0.0017535170773044229,0.0017281860345974565,0.0017553538782522082
test,5,500,600,100,0.001260437653400004,0.0011640385491773486,0.0018214891897514462,0.0022473528515547514
test,6,600,700,100,0.00234015635214746,0.0025630826130509377,0.0027936387341469526,0.0038305725902318954
test,7,700,800,100,0.0017559508560225368,0.001776434131897986,0.0018348575104027987,0.0019367842469364405
test,8,800,900,100,0.0009836845565587282,0.0012606801465153694,0.0023083845153450966,0.0026604747399687767
test,9,900,1000,100,0.0025920961052179337,0.0036747499834746122,0.005897699389606714,0.0066742319613695145
