segment,window_index,start,end,window_size,rmse_h25,rmse_h50,rmse_h75,rmse_h100
train,0,0,100,100,0.0068817660212516785,0.006539024878293276,0.00693376874551177,0.0069567542523145676
train,1,100,200,100,0.007327659521251917,0.009996755979955196,0.015678536146879196,0.020563071593642235
train,2,200,300,100,0.011488592252135277,0.01109651941806078,0.01270968746393919,0.01571360044181347
train,3,300,400,100,0.005317503586411476,0.00834691897034645,0.010271221399307251,0.011860279366374016
train,4,400,500,100,0.007621002849191427,0.010202296078205109,0.011501841247081757,0.013389823026955128
train,5,500,600,100,0.012011219747364521,0.012154147028923035,0.013296700082719326,0.01650669425725937
train,6,600,700,100,0.00672735134139657,0.006594469305127859,0.006239396519958973,0.006649691611528397
train,7,700,800,100,0.008601211942732334,0.010355244390666485,0.009517793543636799,0.009740326553583145
train,8,800,900,100,0.007005861960351467,0.010152919217944145,0.014056174084544182,0.01784089207649231
train,9,900,1000,100,0.008816689252853394,0.010201629251241684,0.012958649545907974,0.01600395329296589
val,0,0,100,100,0.01390149723738432,0.02251514233648777,0.027423150837421417,0.03605985268950462
val,1,100,200,100,0.007073035929352045,0.0066235861741006374,0.006906924303621054,0.007427474949508905
val,2,200,300,100,0.010761965066194534,0.010754244402050972,0.01218643318861723,0.014604179188609123
val,3,300,400,100,0.013234840705990791,0.015730440616607666,0.02068750001490116,0.0229062307626009
val,4,400,500,100,0.007925081066787243,0.007490713149309158,0.007242967840284109,0.00840859953314066
val,5,500,600,100,0.007261179853230715,0.009682541713118553,0.009409630671143532,0.008911891840398312
val,6,600,700,100,0.008751364424824715,0.00852719135582447,0.010915055871009827,0.012639124877750874
val,7,700,800,100,0.013340508565306664,0.021337758749723434,0.0335698164999485,0.04346749186515808
val,8,800,900,100,0.005643224343657494,0.005506254732608795,0.005471162032335997,0.0053035723976790905
val,9,900,1000,100,0.007671097759157419,0.007455175276845694,0.007162629626691341,0.007249401416629553
test,0,0,100,100,0.009785620495676994,0.010267006233334541,0.012447196990251541,0.014838343486189842
test,1,100,200,100,0.006987913511693478,0.009571530856192112,0.01184700708836317,0.01304320152848959
test,2,200,300,100,0.006703896448016167,0.007382029201835394,0.008413680829107761,0.008252463303506374
test,3,300,400,100,0.009647272527217865,0.01135020237416029,0.015494078397750854,0.020917817950248718
test,4,400,500,100,0.007558105047792196,0.01064461562782526,0.012893271632492542,0.014391770586371422
test,5,500,600,100,0.0070063709281384945,0.008064291439950466,0.009594136849045753,0.011586817912757397
test,6,600,700,100,0.0071522146463394165,0.006529271602630615,0.006758946925401688,0.007319205906242132
test,7,700,800,100,0.009457530453801155,0.009977979585528374,0.010161248035728931,0.011049839667975903
test,8,800,900,100,0.012253919616341591,0.017983585596084595,0.017051592469215393,0.01806577481329441
test,9,900,1000,100,0.01108620036393404,0.011578538455069065,0.012936471030116081,0.01521084364503622
