segment,window_index,start,end,window_size,rmse_h25,rmse_h50,rmse_h75,rmse_h100
train,0,0,100,100,0.00633741682395339,0.007514787372201681,0.016838055104017258,0.023040061816573143
train,1,100,200,100,0.0219054464250803,0.025595050305128098,0.04963093250989914,0.06519152969121933
train,2,200,300,100,0.00800209492444992,0.010267074219882488,0.016699431464076042,0.020926212891936302
train,3,300,400,100,0.021343085914850235,0.023298926651477814,0.0496273897588253,0.06457916647195816
train,4,400,500,100,0.016152599826455116,0.022899027913808823,0.04144855961203575,0.05910009518265724
train,5,500,600,100,0.012500962242484093,0.012760842218995094,0.021167291328310966,0.02450811117887497
train,6,600,700,100,0.01518948469310999,0.016500718891620636,0.040609657764434814,0.05710264667868614
train,7,700,800,100,0.014204277656972408,0.019006943330168724,0.03818415850400925,0.051492780447006226
train,8,800,900,100,0.003398203058168292,0.006998687516897917,0.015357485972344875,0.02054991014301777
train,9,900,1000,100,0.024153975769877434,0.028042148798704147,0.054476696997880936,0.07152622193098068
val,0,0,100,100,0.011034679599106312,0.01614823192358017,0.031767912209033966,0.04141436144709587
val,1,100,200,100,0.016120685264468193,0.02064182423055172,0.043955810368061066,0.05598367750644684
val,2,200,300,100,0.00828753411769867,0.009469867683947086,0.012151983566582203,0.016547400504350662
val,3,300,400,100,0.019518721848726273,0.0157843716442585,0.026853233575820923,0.03589916229248047
val,4,400,500,100,0.01780763268470764,0.023888232186436653,0.040023017674684525,0.05758689343929291
val,5,500,600,100,0.014962789602577686,0.018292663618922234,0.03718165308237076,0.05012473836541176
val,6,600,700,100,0.0032515188213437796,0.006897380109876394,0.01460225135087967,0.019439322873950005
val,7,700,800,100,0.024250509217381477,0.028044546023011208,0.05466143786907196,0.07205907255411148
val,8,800,900,100,0.011445936746895313,0.016683191061019897,0.03303203359246254,0.04336876422166824
val,9,900,1000,100,0.014858517795801163,0.019236864522099495,0.04099241644144058,0.052506815642118454
test,0,0,100,100,0.008265584707260132,0.00807450246065855,0.011086549609899521,0.016014646738767624
test,1,100,200,100,0.019493669271469116,0.01575322262942791,0.022312987595796585,0.028793800622224808
test,2,200,300,100,0.014985992573201656,0.021158572286367416,0.03836064413189888,0.05397370457649231
test,3,300,400,100,0.007838464342057705,0.010281827300786972,0.016190961003303528,0.02066219225525856
test,4,400,500,100,0.020977502688765526,0.022741004824638367,0.04876837879419327,0.06318666785955429
test,5,500,600,100,0.01610535755753517,0.0228157676756382,0.041252125054597855,0.05886225029826164
test,6,600,700,100,0.01260941568762064,0.012869255617260933,0.02163277380168438,0.025156429037451744
test,7,700,800,100,0.015106195583939552,0.016622886061668396,0.04076166823506355,0.056838683784008026
test,8,800,900,100,0.013453409075737,0.018071157857775688,0.0366121344268322,0.048916295170784
test,9,900,1000,100,0.005148029886186123,0.00828749779611826,0.020714718848466873,0.027297617867588997
