segment,window_index,start,end,window_size,rmse_h25,rmse_h50,rmse_h75,rmse_h100
train,0,0,100,100,0.027112454175949097,0.02758539840579033,0.023915577679872513,0.025835858657956123
train,1,100,200,100,0.03694574907422066,0.03612184152007103,0.037112344056367874,0.03760820999741554
train,2,200,300,100,0.05043913051486015,0.07009350508451462,0.07265959680080414,0.08968692272901535
train,3,300,400,100,0.027619365602731705,0.02430114895105362,0.024475766345858574,0.02418292500078678
train,4,400,500,100,0.02803587168455124,0.05712229385972023,0.06611831486225128,0.07347052544355392
train,5,500,600,100,0.031118258833885193,0.027674051001667976,0.02547997049987316,0.024905825033783913
train,6,600,700,100,0.04013011232018471,0.04236241430044174,0.04203084483742714,0.05076418071985245
train,7,700,800,100,0.02979540079832077,0.029816538095474243,0.025303464382886887,0.02661045268177986
train,8,800,900,100,0.032089963555336,0.03826695680618286,0.059851936995983124,0.07131480425596237
train,9,900,1000,100,0.03386903554201126,0.03453228250145912,0.03114183433353901,0.0383685901761055
val,0,0,100,100,0.05329371616244316,0.08264816552400589,0.12418154627084732,0.16028693318367004
val,1,100,200,100,0.025008024647831917,0.027625029906630516,0.03812432661652565,0.042434778064489365
val,2,200,300,100,0.0448451042175293,0.046543072909116745,0.04634227231144905,0.05842539668083191
val,3,300,400,100,0.029697958379983902,0.027265647426247597,0.02320035733282566,0.021925080567598343
val,4,400,500,100,0.06228545680642128,0.0680961087346077,0.07050701230764389,0.07239791005849838
val,5,500,600,100,0.02080230973660946,0.027366802096366882,0.023706961423158646,0.029223470017313957
val,6,600,700,100,0.04572952538728714,0.03954346850514412,0.034696538001298904,0.038434285670518875
val,7,700,800,100,0.052207641303539276,0.07990239560604095,0.11108820885419846,0.14331503212451935
val,8,800,900,100,0.030615387484431267,0.02885843813419342,0.026077883318066597,0.03177503123879433
val,9,900,1000,100,0.028677990660071373,0.0414971224963665,0.06502170860767365,0.0779641792178154
test,0,0,100,100,0.05892946943640709,0.053912945091724396,0.054768964648246765,0.06713772565126419
test,1,100,200,100,0.04281081631779671,0.037971626967191696,0.03442598134279251,0.032040469348430634
test,2,200,300,100,0.03462924435734749,0.029976852238178253,0.028772052377462387,0.026864532381296158
test,3,300,400,100,0.04606811702251434,0.06747190654277802,0.0774565041065216,0.11102734506130219
test,4,400,500,100,0.04991577938199043,0.06037307530641556,0.06351366639137268,0.06960061937570572
test,5,500,600,100,0.03617038205265999,0.06439439207315445,0.07857336103916168,0.0906752198934555
test,6,600,700,100,0.03554640710353851,0.038577474653720856,0.036013033241033554,0.04894973337650299
test,7,700,800,100,0.0283905491232872,0.02410024404525757,0.02778611332178116,0.03036149963736534
test,8,800,900,100,0.046076398342847824,0.06844712048768997,0.06638127565383911,0.06500859558582306
test,9,900,1000,100,0.038380157202482224,0.04676063358783722,0.06444289535284042,0.0756252259016037
