segment,window_index,start,end,window_size,rmse_h25,rmse_h50,rmse_h75,rmse_h100
train,0,0,100,100,0.00819688756018877,0.006857861299067736,0.006395366508513689,0.007003237493336201
train,1,100,200,100,0.010705155320465565,0.016030261293053627,0.025129783898591995,0.032177262008190155
train,2,200,300,100,0.010684303008019924,0.01054468099027872,0.012747134082019329,0.0161636583507061
train,3,300,400,100,0.006487261038273573,0.006264026276767254,0.005498798098415136,0.005084701348096132
train,4,400,500,100,0.0070671746507287025,0.009311795234680176,0.010506222024559975,0.011759278364479542
train,5,500,600,100,0.012141052633523941,0.012966395355761051,0.014347360469400883,0.017859037965536118
train,6,600,700,100,0.009143826551735401,0.010653188452124596,0.012078284285962582,0.015507918782532215
train,7,700,800,100,0.008887294679880142,0.010058477520942688,0.00926748476922512,0.009808615781366825
train,8,800,900,100,0.006898796185851097,0.005765504669398069,0.004867247771471739,0.00478726951405406
train,9,900,1000,100,0.00704609090462327,0.010601980611681938,0.013843143358826637,0.018597474321722984
val,0,0,100,100,0.013654948212206364,0.02075435407459736,0.024738697335124016,0.03287991136312485
val,1,100,200,100,0.00659904396161437,0.005620129872113466,0.005093414336442947,0.004526379052549601
val,2,200,300,100,0.011290306225419044,0.012155928649008274,0.014769300818443298,0.01884048990905285
val,3,300,400,100,0.009201535023748875,0.010688613168895245,0.013389534316956997,0.014461169950664043
val,4,400,500,100,0.007041746750473976,0.006477573420852423,0.006512785796076059,0.00688825873658061
val,5,500,600,100,0.007334129419177771,0.008315511047840118,0.00785786285996437,0.007800039369612932
val,6,600,700,100,0.010798893868923187,0.01416837889701128,0.01947159133851528,0.025085564702749252
val,7,700,800,100,0.015518227592110634,0.02906053140759468,0.04419226199388504,0.05787796527147293
val,8,800,900,100,0.005898680537939072,0.006382578983902931,0.006198372226208448,0.006703453604131937
val,9,900,1000,100,0.007197461556643248,0.006956133525818586,0.006071179173886776,0.006597572006285191
test,0,0,100,100,0.009828685782849789,0.011087738908827305,0.012551039457321167,0.015517616644501686
test,1,100,200,100,0.008337032981216908,0.009320949204266071,0.010488939471542835,0.011309610679745674
test,2,200,300,100,0.005431237630546093,0.00505346804857254,0.0053070466965436935,0.005458214785903692
test,3,300,400,100,0.013878236524760723,0.019064536318182945,0.025257349014282227,0.03378725424408913
test,4,400,500,100,0.010413410142064095,0.011244215071201324,0.01118913572281599,0.011433426290750504
test,5,500,600,100,0.00630650669336319,0.00820168200880289,0.009509338065981865,0.010876527056097984
test,6,600,700,100,0.008033999241888523,0.007488777860999107,0.007718758657574654,0.008556882850825787
test,7,700,800,100,0.01112641952931881,0.012052886188030243,0.013776359148323536,0.01691027544438839
test,8,800,900,100,0.008162270300090313,0.01063795480877161,0.010449287481606007,0.011632396839559078
test,9,900,1000,100,0.010205714032053947,0.009480171836912632,0.009241919964551926,0.009228200651705265
