segment,window_index,start,end,window_size,rmse_h25,rmse_h50,rmse_h75,rmse_h100
train,0,0,100,100,0.01946376822888851,0.019897611811757088,0.023701397702097893,0.02739739418029785
train,1,100,200,100,0.01633540540933609,0.01960279792547226,0.025769850239157677,0.031870286911726
train,2,200,300,100,0.028015805408358574,0.024954060092568398,0.02538975514471531,0.030779937282204628
train,3,300,400,100,0.0184132382273674,0.024665437638759613,0.03207907825708389,0.038620952516794205
train,4,400,500,100,0.016113875433802605,0.020631594583392143,0.02473621629178524,0.02972547337412834
train,5,500,600,100,0.022265629842877388,0.01776730827987194,0.015056216157972813,0.014490625821053982
train,6,600,700,100,0.02237844280898571,0.019879261031746864,0.01902144029736519,0.02155711129307747
train,7,700,800,100,0.019508542492985725,0.01702844724059105,0.014426100067794323,0.01331494189798832
train,8,800,900,100,0.013922978192567825,0.013785425573587418,0.018727045506238937,0.022229524329304695
train,9,900,1000,100,0.01901070401072502,0.01784927025437355,0.0174708254635334,0.019999204203486443
val,0,0,100,100,0.027021316811442375,0.04043512046337128,0.05237434059381485,0.06954227387905121
val,1,100,200,100,0.014598117209970951,0.014002861455082893,0.013663719408214092,0.015073975548148155
val,2,200,300,100,0.029525699093937874,0.02469564974308014,0.021621419116854668,0.021406570449471474
val,3,300,400,100,0.021654032170772552,0.024213913828134537,0.0301224272698164,0.0326579250395298
val,4,400,500,100,0.022628897801041603,0.017608648166060448,0.016095446422696114,0.017803503200411797
val,5,500,600,100,0.020240573212504387,0.027409469708800316,0.024424439296126366,0.02312280982732773
val,6,600,700,100,0.016230138018727303,0.01524287648499012,0.013628317974507809,0.013431563973426819
val,7,700,800,100,0.02998681552708149,0.04962119087576866,0.0740654468536377,0.09366428107023239
val,8,800,900,100,0.01130699086934328,0.009777621366083622,0.01147757563740015,0.013631671667098999
val,9,900,1000,100,0.01962193287909031,0.015454246662557125,0.012957178056240082,0.011884687468409538
test,0,0,100,100,0.0214860737323761,0.02233043685555458,0.022719692438840866,0.024947967380285263
test,1,100,200,100,0.017841840162873268,0.02035001665353775,0.024453410878777504,0.026472436264157295
test,2,200,300,100,0.015017690137028694,0.012011426500976086,0.012517898343503475,0.013307522982358932
test,3,300,400,100,0.024895863607525826,0.022094154730439186,0.02181641198694706,0.025885706767439842
test,4,400,500,100,0.02794722281396389,0.030129138380289078,0.036450713872909546,0.041353411972522736
test,5,500,600,100,0.014846114441752434,0.01456848531961441,0.018047016113996506,0.021940650418400764
test,6,600,700,100,0.022999504581093788,0.018813012167811394,0.01715725287795067,0.018765375018119812
test,7,700,800,100,0.021563347429037094,0.022955141961574554,0.025609556585550308,0.030288100242614746
test,8,800,900,100,0.02640370838344097,0.03235850855708122,0.029301991686224937,0.02844766527414322
test,9,900,1000,100,0.025329139083623886,0.022638380527496338,0.024147452786564827,0.02706722915172577
