segment,window_index,start,end,window_size,rmse_h25,rmse_h50,rmse_h75,rmse_h100
train,0,0,100,100,0.03005584143102169,0.027360711246728897,0.02519746869802475,0.026725824922323227
train,1,100,200,100,0.03289280831813812,0.035694003105163574,0.030870171263813972,0.028896823525428772
train,2,200,300,100,0.03501662611961365,0.041363589465618134,0.0512995682656765,0.06426361948251724
train,3,300,400,100,0.022507013753056526,0.023640481755137444,0.028253015130758286,0.03203069046139717
train,4,400,500,100,0.017266036942601204,0.01520352903753519,0.01348398718982935,0.014342178590595722
train,5,500,600,100,0.0247093103826046,0.020550750195980072,0.02005268819630146,0.020076697692275047
train,6,600,700,100,0.034201741218566895,0.0362338051199913,0.04149321839213371,0.05104239657521248
train,7,700,800,100,0.03397629037499428,0.031471990048885345,0.0285541620105505,0.02770734392106533
train,8,800,900,100,0.01690281555056572,0.024976935237646103,0.029829083010554314,0.03902329131960869
train,9,900,1000,100,0.03399872034788132,0.028477678075432777,0.025828994810581207,0.026093417778611183
val,0,0,100,100,0.035583943128585815,0.05085931718349457,0.06042337417602539,0.08194655925035477
val,1,100,200,100,0.02606581524014473,0.025565452873706818,0.027394374832510948,0.030386684462428093
val,2,200,300,100,0.07356957346200943,0.06838110834360123,0.08008842915296555,0.10339049994945526
val,3,300,400,100,0.044813212007284164,0.03921126574277878,0.03538074344396591,0.03128010407090187
val,4,400,500,100,0.03255404531955719,0.027724573388695717,0.025160416960716248,0.02549082040786743
val,5,500,600,100,0.023375043645501137,0.021980684250593185,0.0197129063308239,0.018558450043201447
val,6,600,700,100,0.027239952236413956,0.028230957686901093,0.02934241108596325,0.03636252507567406
val,7,700,800,100,0.049405939877033234,0.06931256502866745,0.10627936571836472,0.13003455102443695
val,8,800,900,100,0.025611476972699165,0.0338456854224205,0.037898238748311996,0.05408038571476936
val,9,900,1000,100,0.03390979766845703,0.037479955703020096,0.048708248883485794,0.057004787027835846
test,0,0,100,100,0.039751939475536346,0.042157258838415146,0.05196195840835571,0.06060589477419853
test,1,100,200,100,0.042183246463537216,0.03895869106054306,0.04503651335835457,0.046205975115299225
test,2,200,300,100,0.03389814496040344,0.027131875976920128,0.02353486604988575,0.024841029196977615
test,3,300,400,100,0.04761651158332825,0.03948751837015152,0.03670705482363701,0.03836419805884361
test,4,400,500,100,0.039276741445064545,0.038113828748464584,0.033661387860774994,0.03030449151992798
test,5,500,600,100,0.01887688599526882,0.02197919972240925,0.02646128088235855,0.03331400454044342
test,6,600,700,100,0.054840896278619766,0.05307736247777939,0.053762808442115784,0.06225166097283363
test,7,700,800,100,0.02720765396952629,0.02904835157096386,0.032540980726480484,0.039791788905858994
test,8,800,900,100,0.028826763853430748,0.027909914031624794,0.02443069778382778,0.02321026287972927
test,9,900,1000,100,0.04823123291134834,0.060506101697683334,0.08311188220977783,0.10121719539165497
